xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.56786	 -0.00292	 0.82824	 0.02944	 0.57050	 -0.00116	 0.94541	 -0.27880	 341.24077	 0.00000 	 0.00000
	 0.60385	 -0.53639	 0.85182	 0.53262	 0.41573	 0.28858	 0.90787	 -0.49230	 340.96721	 0.00000 	 0.00000
	 0.62729	 -0.00292	 0.82771	 0.03175	 0.65222	 -0.30752	 0.94512	 -0.27880	 327.18996	 0.00000 	 0.00000
	 0.54023	 -0.75467	 0.88467	 0.03463	 0.73745	 -0.00672	 0.94053	 -0.47874	 396.97314	 0.00000 	 0.00000
	 0.73552	 -0.67242	 0.86891	 0.58753	 0.41710	 0.48761	 0.89397	 -0.49383	 402.04700	 0.00990 	 12.03035
	 0.53226	 -0.28144	 0.81992	 0.53068	 0.62065	 0.72571	 0.83195	 -0.47056	 412.03824	 0.00857 	 20.05688
	 0.67012	 -0.11645	 0.80011	 0.65682	 0.46781	 0.79053	 0.85087	 -0.36363	 370.98375	 0.00974 	 13.19768
	 0.60156	 -0.66204	 0.87253	 0.54448	 0.60888	 0.80654	 0.90956	 -0.44917	 411.06275	 -0.18516 	 24.90686
	 0.60372	 -0.79651	 0.88437	 0.61097	 0.73820	 -0.43921	 0.95376	 -0.73115	 350.33539	 -0.06791 	 46.79746
	 0.64398	 -0.76601	 0.80388	 0.04034	 0.73078	 -0.03126	 0.94053	 -0.37365	 344.12218	 -0.00523 	 24.99791
	 0.64450	 -0.70849	 0.80348	 0.61097	 0.72990	 -0.46375	 0.94111	 -0.73115	 350.33539	 0.00000 	 0.00000
	 0.67244	 -0.12105	 0.88966	 0.55557	 0.69458	 0.80721	 0.78837	 -0.44778	 410.86408	 0.00000 	 0.00000
	 0.51075	 -0.18969	 0.90268	 0.57784	 0.50682	 -0.52423	 0.93927	 -0.47607	 303.90084	 0.00000 	 36.10911
	 0.60320	 -0.86007	 0.88414	 0.03728	 0.73812	 -0.00067	 0.81654	 -0.42437	 342.60535	 -0.00810 	 42.76416
	 0.63121	 -0.00292	 0.83068	 0.02898	 0.66879	 0.00593	 0.94560	 -0.21393	 327.18996	 0.00000 	 0.00000
	 0.71066	 -0.88566	 0.94899	 0.16288	 0.56345	 0.02880	 0.90426	 -0.19470	 315.72527	 0.00000 	 0.00000
	 0.70833	 -0.88566	 0.87100	 0.14656	 0.66826	 0.03980	 0.90710	 -0.19310	 407.28063	 0.00000 	 0.00000
	 0.67159	 -0.12105	 0.95265	 0.56912	 0.46046	 0.79612	 0.90956	 -0.44917	 318.28426	 0.00000 	 31.95741
	 0.68186	 -0.53467	 0.80037	 0.65837	 0.40600	 -0.14908	 0.85106	 -0.29617	 371.25977	 0.00992 	 22.66422
	 0.54088	 -0.69821	 0.86891	 0.52834	 0.41698	 0.28858	 0.90787	 -0.49383	 400.44324	 0.00000 	 0.00000
	 0.60320	 -0.79879	 0.87267	 0.00713	 0.65870	 0.00846	 0.94053	 -0.63577	 364.40734	 -0.02261 	 50.77680
