Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:29:32	941	119,499	26,6176662445068
18/07/2016	17:29:33	249	119,807	26,6427917480469
18/07/2016	17:29:33	492	120,05	26,6176662445068
18/07/2016	17:29:33	708	120,266	26,597562789917
18/07/2016	17:29:33	987	120,545	26,5623722076416
18/07/2016	17:29:34	146	120,704	26,5925350189209
18/07/2016	17:29:34	554	121,112	26,5724277496338
18/07/2016	17:29:34	734	121,292	26,5573444366455
18/07/2016	17:29:34	886	121,444	26,5221405029297
18/07/2016	17:29:35	238	121,796	26,5523147583008
18/07/2016	17:29:35	600	122,158	26,54225730896
18/07/2016	17:29:35	690	122,248	26,4969882965088
18/07/2016	17:29:36	164	122,722	26,5372295379639
18/07/2016	17:29:36	449	123,007	26,5120811462402
18/07/2016	17:29:36	513	123,071	26,5020198822021
18/07/2016	17:29:36	719	123,277	26,4768619537354
18/07/2016	17:29:36	900	123,458	26,5271701812744
18/07/2016	17:29:37	227	123,785	26,5623722076416
18/07/2016	17:29:37	366	123,924	26,6126403808594
18/07/2016	17:29:37	561	124,119	26,5372295379639
18/07/2016	17:29:37	746	124,304	26,5523147583008
18/07/2016	17:29:38	154	124,712	26,5925350189209
18/07/2016	17:29:38	258	124,816	26,5321998596191
18/07/2016	17:29:38	603	125,161	26,5573444366455
18/07/2016	17:29:38	767	125,325	26,5472869873047
18/07/2016	17:29:39	210	125,768	26,5472869873047
18/07/2016	17:29:39	531	126,089	26,6377658843994
18/07/2016	17:29:39	888	126,446	26,5020198822021
18/07/2016	17:29:40	056	126,614	26,54225730896
18/07/2016	17:29:40	300	126,858	26,4667987823486
18/07/2016	17:29:40	692	127,25	26,5372295379639
18/07/2016	17:29:40	857	127,415	26,4667987823486
18/07/2016	17:29:41	037	127,595	26,4567337036133
18/07/2016	17:29:41	244	127,802	26,517110824585
18/07/2016	17:29:41	632	128,19	26,4617652893066
18/07/2016	17:29:41	810	128,368	26,4567337036133
18/07/2016	17:29:42	190	128,748	26,4567337036133
18/07/2016	17:29:42	244	128,802	26,5673999786377
18/07/2016	17:29:42	499	129,057	26,5020198822021
18/07/2016	17:29:42	673	129,231	26,4617652893066
18/07/2016	17:29:43	053	129,611	26,4214973449707
18/07/2016	17:29:43	209	129,767	26,5020198822021
18/07/2016	17:29:43	351	129,909	26,4768619537354
18/07/2016	17:29:43	555	130,113	26,3963241577148
18/07/2016	17:29:43	886	130,444	26,4315662384033
18/07/2016	17:29:44	007	130,565	26,4315662384033
18/07/2016	17:29:44	225	130,783	26,4114284515381
18/07/2016	17:29:44	377	130,935	26,3812160491943
18/07/2016	17:29:44	801	131,359	26,3258037567139
18/07/2016	17:29:45	012	131,57	26,3106861114502
18/07/2016	17:29:45	551	132,109	26,320764541626
